id_dest,id_origin,no,pop_dest,den_dest,pop_origin,den_origin,id_dest_new,id_origin_new,urban_dest,urban_origin
201022,201011,155,15119,52,37522,1642,0201022,0201011,rural,urban
201032,201011,6,5094,19,37522,1642,0201032,0201011,rural,urban
201043,201011,16,14747,84,37522,1642,0201043,0201011,urban-rural,urban
201052,201011,21,7329,17,37522,1642,0201052,0201011,rural,urban
201062,201011,57,8464,77,37522,1642,0201062,0201011,rural,urban
203011,201011,7,63730,1815,37522,1642,0203011,0201011,urban,urban
209022,201011,6,9536,41,37522,1642,0209022,0201011,rural,urban
210011,201011,3,19964,1238,37522,1642,0210011,0201011,urban,urban
212033,201011,6,16354,68,37522,1642,0212033,0201011,urban-rural,urban
223083,201011,5,28553,289,37522,1642,0223083,0201011,urban-rural,urban
225063,201011,5,7958,23,37522,1642,0225063,0201011,urban-rural,urban
264011,201011,53,674312,2303,37522,1642,0264011,0201011,urban,urban
801022,201011,3,7129,64,37522,1642,0801022,0201011,rural,urban
810073,201011,4,19479,84,37522,1642,0810073,0201011,urban-rural,urban
862011,201011,8,139667,502,37522,1642,0862011,0201011,urban,urban
1016011,201011,3,58796,1424,37522,1642,1016011,0201011,urban,urban
1261011,201011,4,802583,2456,37522,1642,1261011,0201011,urban,urban
1465011,201011,4,1863056,8332,37522,1642,1465011,0201011,urban,urban
1818062,201011,3,11006,126,37522,1642,1818062,0201011,rural,urban
2466011,201011,3,172628,1289,37522,1642,2466011,0201011,urban,urban
3021152,201011,3,20108,173,37522,1642,3021152,0201011,rural,urban
201011,201022,85,37522,1642,15119,52,0201011,0201022,urban,rural
201032,201022,4,5094,19,15119,52,0201032,0201022,rural,rural
201043,201022,14,14747,84,15119,52,0201043,0201022,urban-rural,rural
201052,201022,11,7329,17,15119,52,0201052,0201022,rural,rural
201062,201022,19,8464,77,15119,52,0201062,0201022,rural,rural
210011,201022,3,19964,1238,15119,52,0210011,0201022,urban,rural
212013,201022,3,9306,140,15119,52,0212013,0201022,urban-rural,rural
216062,201022,3,4905,58,15119,52,0216062,0201022,rural,rural
261011,201022,4,76570,701,15119,52,0261011,0201022,urban,rural
262011,201022,3,93988,1670,15119,52,0262011,0201022,urban,rural
264011,201022,8,674312,2303,15119,52,0264011,0201022,urban,rural
201011,201032,15,37522,1642,5094,19,0201011,0201032,urban,rural
201022,201032,6,15119,52,5094,19,0201022,0201032,rural,rural
201062,201032,8,8464,77,5094,19,0201062,0201032,rural,rural
203011,201032,3,63730,1815,5094,19,0203011,0201032,urban,rural
209011,201032,6,12619,2372,5094,19,0209011,0201032,urban,rural
212043,201032,3,8192,44,5094,19,0212043,0201032,urban-rural,rural
264011,201032,4,674312,2303,5094,19,0264011,0201032,urban,rural
201011,201043,47,37522,1642,14747,84,0201011,0201043,urban,urban-rural
201022,201043,12,15119,52,14747,84,0201022,0201043,rural,urban-rural
201052,201043,7,7329,17,14747,84,0201052,0201043,rural,urban-rural
201062,201043,3,8464,77,14747,84,0201062,0201043,rural,urban-rural
210033,201043,3,9456,90,14747,84,0210033,0201043,urban-rural,urban-rural
212023,201043,4,5657,43,14747,84,0212023,0201043,urban-rural,urban-rural
212033,201043,4,16354,68,14747,84,0212033,0201043,urban-rural,urban-rural
218012,201043,4,7229,50,14747,84,0218012,0201043,rural,urban-rural
225043,201043,3,8827,80,14747,84,0225043,0201043,urban-rural,urban-rural
262011,201043,5,93988,1670,14747,84,0262011,0201043,urban,urban-rural
264011,201043,3,674312,2303,14747,84,0264011,0201043,urban,urban-rural
201011,201052,20,37522,1642,7329,17,0201011,0201052,urban,rural
201022,201052,6,15119,52,7329,17,0201022,0201052,rural,rural
201043,201052,11,14747,84,7329,17,0201043,0201052,urban-rural,rural
203011,201052,3,63730,1815,7329,17,0203011,0201052,urban,rural
222033,201052,5,21759,66,7329,17,0222033,0201052,urban-rural,rural
226062,201052,4,6961,48,7329,17,0226062,0201052,rural,rural
810021,201052,9,24130,598,7329,17,0810021,0201052,urban,rural
201011,201062,33,37522,1642,8464,77,0201011,0201062,urban,rural
201022,201062,11,15119,52,8464,77,0201022,0201062,rural,rural
201032,201062,8,5094,19,8464,77,0201032,0201062,rural,rural
226032,201062,3,4297,41,8464,77,0226032,0201062,rural,rural
264011,201062,11,674312,2303,8464,77,0264011,0201062,urban,rural
202021,202011,35,31478,1568,28688,792,0202021,0202011,urban,urban
202033,202011,24,9012,142,28688,792,0202033,0202011,urban-rural,urban
202041,202011,7,6059,289,28688,792,0202041,0202011,urban,urban
202052,202011,22,9215,65,28688,792,0202052,0202011,rural,urban
202062,202011,5,7254,58,28688,792,0202062,0202011,rural,urban
202073,202011,3,5178,72,28688,792,0202073,0202011,urban-rural,urban
214011,202011,4,35640,1700,28688,792,0214011,0202011,urban,urban
223012,202011,5,22031,264,28688,792,0223012,0202011,rural,urban
223052,202011,3,24053,161,28688,792,0223052,0202011,rural,urban
223083,202011,4,28553,289,28688,792,0223083,0202011,urban-rural,urban
224053,202011,7,20890,143,28688,792,0224053,0202011,urban-rural,urban
264011,202011,38,674312,2303,28688,792,0264011,0202011,urban,urban
1465011,202011,5,1863056,3458,28688,792,1465011,0202011,urban,urban
3020063,202011,4,29080,161,28688,792,3020063,0202011,urban-rural,urban
202011,202021,60,28688,792,31478,1568,0202011,0202021,urban,urban
202033,202021,20,9012,142,31478,1568,0202033,0202021,urban-rural,urban
202041,202021,12,6059,289,31478,1568,0202041,0202021,urban,urban
202052,202021,62,9215,65,31478,1568,0202052,0202021,rural,urban
202062,202021,10,7254,58,31478,1568,0202062,0202021,rural,urban
202073,202021,8,5178,72,31478,1568,0202073,0202021,urban-rural,urban
215033,202021,4,23636,141,31478,1568,0215033,0202021,urban-rural,urban
219011,202021,9,54192,2490,31478,1568,0219011,0202021,urban,urban
223012,202021,6,22031,264,31478,1568,0223012,0202021,rural,urban
223043,202021,3,29193,165,31478,1568,0223043,0202021,urban-rural,urban
224042,202021,5,5224,47,31478,1568,0224042,0202021,rural,urban
