"TABL. 21. POWIERZCHNIA, LUDNOŚĆ ORAZ LOKATY WEDŁUG GMIN
                  AREA, POPULATION AND RANKING POSITIONS BY GMINAS";;;;;;;;;;;
;;;;;;;;;;;"Powrót do spisu tablic
Return to the list of tables"
"Identyfikator
terytorialny
Territorial
identifier";"Wyszczególnienie  Specification
a Port lotniczy. Airport.
b Port morski. Seaport.
c Przejście graniczne. Border crossing.";"Powierzchnia
Area";;;"Ludność
 Population";;;"Lokata według
Ranking position by";;;
;;"w ha
in ha";;"w km ²
in km ²";"ogółem
total";;"na 1 km ²
per 1 km ²";"powierzchni
w ha
area in ha";"liczby
ludności
population";;
;WOJ. DOLNOŚLĄSKIE;;;;;;;;;;
;Powiat bolesławiecki  (6 gmin);;;;;;;;;;
;gmina miejska   urban gmina;;;;;;;;;;
020101 1;  Bolesławiec..........................................................................................................................................................................................................................................................;2285;;23;37522;;1642;2205;133;;
;gminy wiejskie   rural gminas;;;;;;;;;;
020102 2;  Bolesławiec..........................................................................................................................................................................................................................................................;28911;;289;15119;;52;116;515;;
020103 2;  Gromadka..........................................................................................................................................................................................................................................................;26776;;268;5094;;19;139;1659;;
020105 2;  Osiecznica..........................................................................................................................................................................................................................................................;43668;↑;437;7329;;17;12;1195;;
020106 2;  Warta Bolesławiecka..........................................................................................................................................................................................................................................................;11048;;110;8464;;77;1209;1033;;
;gmina miejsko-wiejska   urban-rural gmina;;;;;;;;;;
020104 3;  Nowogrodziec..........................................................................................................................................................................................................................................................;17661;;176;14747;;84;473;525;;
020104 4;     miasto   town..........................................................................................................................................................................................................................................................;1610;;16;4120;;256;x;x;;
020104 5;     obszar wiejski   rural area..........................................................................................................................................................................................................................................................;16051;;160;10627;;66;x;x;;
;Powiat dzierżoniowski  (7 gmin);;;;;;;;;;
;gminy miejskie   urban gminas;;;;;;;;;;
020201 1;  Bielawa..........................................................................................................................................................................................................................................................;3621;;36;28688;;792;2114;206;;
020202 1;  Dzierżoniów..........................................................................................................................................................................................................................................................;2007;;20;31478;;1568;2233;179;;
020204 1;  Piława Górna..........................................................................................................................................................................................................................................................;2093;;21;6059;;289;2224;1433;;
;gminy wiejskie   rural gminas;;;;;;;;;;
020205 2;  Dzierżoniów..........................................................................................................................................................................................................................................................;14107;;141;9215;;65;773;935;;
020206 2;  Łagiewniki..........................................................................................................................................................................................................................................................;12475;;125;7254;;58;986;1211;;
;gminy miejsko-wiejskie   urban-rural gminas;;;;;;;;;;
020207 3;  Niemcza..........................................................................................................................................................................................................................................................;7187;;72;5178;;72;1821;1632;;
020207 4;     miasto   town..........................................................................................................................................................................................................................................................;1981;;20;2752;;139;x;x;;
020207 5;     obszar wiejski   rural area..........................................................................................................................................................................................................................................................;5206;;52;2426;;47;x;x;;
020203 3;  Pieszyce..........................................................................................................................................................................................................................................................;6361;;64;9012;;142;1917;955;;
