"TABL. 21. POWIERZCHNIA, LUDNOŚĆ ORAZ LOKATY WEDŁUG GMIN
                  AREA, POPULATION AND RANKING POSITIONS BY GMINAS";;;;;;;;;;
;;;;;;;;;;"Powrót do spisu tablic
Return to the list of tables"
"Identyfikator
terytorialny
Territorial
identifier";"Wyszczególnienie  Specification
a Port lotniczy. Airport.
b Port morski. Seaport.
c Przejście graniczne. Border crossing.";"Powierzchnia
Area";;;"Ludność
 Population";;;"Lokata według
Ranking position by";;
;;"w ha
in ha";;"w km ²
in km ²";"ogółem
total";;"na 1 km ²
per 1 km ²";"powierzchni
w ha
area in ha";"liczby
ludności
population";
;WOJ. DOLNOŚLĄSKIE;;;;;;;;;
;Powiat bolesławiecki  (6 gmin);;;;;;;;;
;gmina miejska   urban gmina;;;;;;;;;
020101 1;  Bolesławiec..........................................................................................................................................................................................................................................................;2285;;23;37293;;1632;2203;135;
;gminy wiejskie   rural gminas;;;;;;;;;
020102 2;  Bolesławiec..........................................................................................................................................................................................................................................................;28911;;289;15176;;52;119;512;
020103 2;  Gromadka..........................................................................................................................................................................................................................................................;26776;;268;5059;;19;143;1675;
020105 2;  Osiecznica..........................................................................................................................................................................................................................................................;43668;↑;437;7307;;17;13;1201;
020106 2;  Warta Bolesławiecka..........................................................................................................................................................................................................................................................;11048;;110;8407;;76;1209;1040;
;gmina miejsko-wiejska   urban-rural gmina;;;;;;;;;
020104 3;  Nowogrodziec..........................................................................................................................................................................................................................................................;17661;;176;14680;;83;473;524;
020104 4;     miasto   town..........................................................................................................................................................................................................................................................;1610;;16;4122;;256;x;x;
020104 5;     obszar wiejski   rural area..........................................................................................................................................................................................................................................................;16051;;160;10558;;66;x;x;
;Powiat dzierżoniowski  (7 gmin);;;;;;;;;
;gminy miejskie   urban gminas;;;;;;;;;
020201 1;  Bielawa..........................................................................................................................................................................................................................................................;3621;;36;28344;;783;2115;211;
020202 1;  Dzierżoniów..........................................................................................................................................................................................................................................................;2007;;20;31061;;1548;2231;181;
020204 1;  Piława Górna..........................................................................................................................................................................................................................................................;2093;;21;5969;;285;2222;1447;
;gminy wiejskie   rural gminas;;;;;;;;;
020205 2;  Dzierżoniów..........................................................................................................................................................................................................................................................;14107;;141;9194;;65;773;941;
020206 2;  Łagiewniki..........................................................................................................................................................................................................................................................;12475;;125;7192;;58;985;1220;
;gminy miejsko-wiejskie   urban-rural gminas;;;;;;;;;
020207 3;  Niemcza..........................................................................................................................................................................................................................................................;7187;;72;5124;;71;1822;1655;
020207 4;     miasto   town..........................................................................................................................................................................................................................................................;1981;;20;2723;;137;x;x;
020207 5;     obszar wiejski   rural area..........................................................................................................................................................................................................................................................;5206;;52;2401;;46;x;x;
020203 3;  Pieszyce..........................................................................................................................................................................................................................................................;6361;;64;8979;;141;1917;961;
020203 4;     miasto   town..........................................................................................................................................................................................................................................................;1772;;18;6827;;385;x;x;
